,Variable,Year,Region,Subregion,Value
1012,Lambs at 30 June (no.),1990,QL,QLD Cape York and the Gulf,0.0
1013,Land rent ($),1990,QL,QLD Cape York and the Gulf,1480.0
1014,Leasing charges ($),1990,QL,QLD Cape York and the Gulf,4610.0
1015,Livestock materials ($),1990,QL,QLD Cape York and the Gulf,8940.0
1016,Livestock transfers - inwards ($),1990,QL,QLD Cape York and the Gulf,14240.0
1017,Livestock transfers - outward ($),1990,QL,QLD Cape York and the Gulf,167910.0
1018,Lupins area sown (ha),1990,QL,QLD Cape York and the Gulf,0.0
1019,Lupins produced (t),1990,QL,QLD Cape York and the Gulf,0.0
1020,Lupins receipts ($),1990,QL,QLD Cape York and the Gulf,0.0
1021,Net capital additions ($),1990,QL,QLD Cape York and the Gulf,20160.0
1022,Oats area sown (ha),1990,QL,QLD Cape York and the Gulf,0.0
1023,Oats produced (t),1990,QL,QLD Cape York and the Gulf,0.0
1024,Oats receipts ($),1990,QL,QLD Cape York and the Gulf,0.0
1025,Off farm contracts ($),1990,QL,QLD Cape York and the Gulf,450.0
1026,Off farm sharefarming ($),1990,QL,QLD Cape York and the Gulf,0.0
1027,Off-farm work for owner manager (hrsperwk),1990,QL,QLD Cape York and the Gulf,10.0
1028,Off-farm work for spouse (hrsperwk),1990,QL,QLD Cape York and the Gulf,0.0
1029,Oilseeds area sown (ha),1990,QL,QLD Cape York and the Gulf,0.0
1030,Oilseeds produced (t),1990,QL,QLD Cape York and the Gulf,0.0
1031,Oilseeds receipts ($),1990,QL,QLD Cape York and the Gulf,0.0
1032,Other administration expenses ($),1990,QL,QLD Cape York and the Gulf,3070.0
1033,Other farm income ($),1990,QL,QLD Cape York and the Gulf,12100.0
1034,Other livestock purchased ($),1990,QL,QLD Cape York and the Gulf,1690.0
1035,Other livestock receipts ($),1990,QL,QLD Cape York and the Gulf,770.0
1036,Other materials ($),1990,QL,QLD Cape York and the Gulf,3330.0
1037,Other services ($),1990,QL,QLD Cape York and the Gulf,12670.0
1038,Payments to sharefarmers ($),1990,QL,QLD Cape York and the Gulf,0.0
1039,Population,1990,QL,QLD Cape York and the Gulf,120.0
1040,Produce purchased for resale ($),1990,QL,QLD Cape York and the Gulf,0.0
1041,Profit at full equity ($),1990,QL,QLD Cape York and the Gulf,197460.0
1042,Profit at full equity including capital appreciation ($),1990,QL,QLD Cape York and the Gulf,301530.0
1043,Rams at 30 June (no.),1990,QL,QLD Cape York and the Gulf,0.0
1044,Rate of return ex. capital appreciation (%),1990,QL,QLD Cape York and the Gulf,5.8
1045,Rate of return inc. capital appreciation (%),1990,QL,QLD Cape York and the Gulf,8.8
1046,Repairs and maintenance ($),1990,QL,QLD Cape York and the Gulf,38550.0
1047,Rice area sown (ha),1990,QL,QLD Cape York and the Gulf,0.0
1048,Sample Contributing,1990,QL,QLD Cape York and the Gulf,10.0
1049,Seed ($),1990,QL,QLD Cape York and the Gulf,560.0
1050,Shearing crutching ($),1990,QL,QLD Cape York and the Gulf,0.0
1051,Sheep and lambs shorn (no.),1990,QL,QLD Cape York and the Gulf,0.0
1052,Sheep flock at 30 June (no.),1990,QL,QLD Cape York and the Gulf,0.0
1053,Sheep purchased ($),1990,QL,QLD Cape York and the Gulf,0.0
1054,Sheep purchased (no.),1990,QL,QLD Cape York and the Gulf,0.0
1055,Sheep receipts ($),1990,QL,QLD Cape York and the Gulf,0.0
1056,Sheep sold (no.),1990,QL,QLD Cape York and the Gulf,0.0
1057,Shire and PPB rates ($),1990,QL,QLD Cape York and the Gulf,15840.0
1058,Sorghum area sown (ha),1990,QL,QLD Cape York and the Gulf,0.0
1059,Sorghum produced (t),1990,QL,QLD Cape York and the Gulf,0.0
1060,Sorghum receipts ($),1990,QL,QLD Cape York and the Gulf,0.0
1061,Steers and other beef cattle at 30 June (no.),1990,QL,QLD Cape York and the Gulf,728.0
1062,Stores and rations ($),1990,QL,QLD Cape York and the Gulf,8360.0
1063,Telephone ($),1990,QL,QLD Cape York and the Gulf,1550.0
1064,Total area cropped (ha),1990,QL,QLD Cape York and the Gulf,0.0
1065,Total area irrigated (ha),1990,QL,QLD Cape York and the Gulf,0.0
1066,Total cash costs ($),1990,QL,QLD Cape York and the Gulf,336870.0
1067,Total cash receipts ($),1990,QL,QLD Cape York and the Gulf,619740.0
1068,Total closing capital ($),1990,QL,QLD Cape York and the Gulf,3433110.0
1069,Total crop gross receipts ($),1990,QL,QLD Cape York and the Gulf,0.0
1070,Total family income ($),1990,QL,QLD Cape York and the Gulf,80770.0
1071,Total freight ($),1990,QL,QLD Cape York and the Gulf,24070.0
1072,Total labor used (weeks),1990,QL,QLD Cape York and the Gulf,225.0
1073,Total non farm income ($),1990,QL,QLD Cape York and the Gulf,16410.0
1074,Total off farm wages ($),1990,QL,QLD Cape York and the Gulf,14720.0
1075,Total wool sold (kg),1990,QL,QLD Cape York and the Gulf,0.0
1076,Value of land and fixed improvements ($),1990,QL,QLD Cape York and the Gulf,1381150.0
1077,Vet fees ($),1990,QL,QLD Cape York and the Gulf,100.0
1078,Wages for hired labor ($),1990,QL,QLD Cape York and the Gulf,52780.0
1079,Water charges ($),1990,QL,QLD Cape York and the Gulf,0.0
1080,Wethers at 30 June (no.),1990,QL,QLD Cape York and the Gulf,0.0
1081,Wheat area sown (ha),1990,QL,QLD Cape York and the Gulf,0.0
1082,Wheat produced (t),1990,QL,QLD Cape York and the Gulf,0.0
1083,Wheat receipts ($),1990,QL,QLD Cape York and the Gulf,0.0
1084,Wheat sold (t),1990,QL,QLD Cape York and the Gulf,0.0
1085,Wool cut per head (kg),1990,QL,QLD Cape York and the Gulf,
1086,Wool produced (kg),1990,QL,QLD Cape York and the Gulf,0.0
1087,Wool receipts ($),1990,QL,QLD Cape York and the Gulf,0.0
1088,AI stud fees and herd testing ($),1990,QL,QLD Central North,70.0
1089,Accounting services ($),1990,QL,QLD Central North,3790.0
1090,Advisory services ($),1990,QL,QLD Central North,0.0
1091,Age of owner manager (yrs),1990,QL,QLD Central North,53.0
1092,Age of spouse (yrs),1990,QL,QLD Central North,49.0
1093,Agistment ($),1990,QL,QLD Central North,17600.0
1094,Area operated at 30 June (ha),1990,QL,QLD Central North,19505.0
1095,Barley area sown (ha),1990,QL,QLD Central North,0.0
1096,Barley produced (t),1990,QL,QLD Central North,0.0
1097,Barley receipts ($),1990,QL,QLD Central North,0.0
1098,Beef bulls at 30 June (no.),1990,QL,QLD Central North,28.0
1099,Beef calves at 30 June (no.),1990,QL,QLD Central North,345.0
1100,Beef cattle purchased ($),1990,QL,QLD Central North,45140.0
1101,Beef cattle purchased (no.),1990,QL,QLD Central North,43.0
1102,Beef cattle receipts ($),1990,QL,QLD Central North,305970.0
1103,Beef cattle sold (no.),1990,QL,QLD Central North,295.0
1104,Beef cattle transferred off farm (no.),1990,QL,QLD Central North,0.0
1105,Beef cattle transferred onto farm (no.),1990,QL,QLD Central North,0.0
1106,Beef cows at 30 June (no.),1990,QL,QLD Central North,555.0
1107,Beef heifers at 30 June (no.),1990,QL,QLD Central North,159.0
1108,Beef herd at 30 June (no.),1990,QL,QLD Central North,1360.0
1109,Branding rate (%),1990,QL,QLD Central North,72.2
1110,Buildup in trading stocks ($),1990,QL,QLD Central North,86710.0
1111,Canola area sown (ha),1990,QL,QLD Central North,0.0
1112,Canola produced (t),1990,QL,QLD Central North,0.0
1113,Canola receipts ($),1990,QL,QLD Central North,0.0
1114,Capital appreciation ($),1990,QL,QLD Central North,-280330.0
1115,Capital at 1 July ($),1990,QL,QLD Central North,3785910.0
1116,Change in farm debt ($),1990,QL,QLD Central North,179990.0
1117,Contracts - cropping ($),1990,QL,QLD Central North,1920.0
1118,Contracts - livestock ($),1990,QL,QLD Central North,1520.0
1119,Cotton receipts ($),1990,QL,QLD Central North,0.0
1120,Crop and pasture chemicals ($),1990,QL,QLD Central North,4420.0
1121,Dairy cattle at June 30 (no.),1990,QL,QLD Central North,0.0
1122,Depreciation ($),1990,QL,QLD Central North,64970.0
1123,Electricity ($),1990,QL,QLD Central North,4080.0
1124,Equity ratio at 30 June (%),1990,QL,QLD Central North,88.0
1125,Ewes at 30 June (no.),1990,QL,QLD Central North,1089.0
1126,Family share of farm income ($),1990,QL,QLD Central North,48570.0
1127,Farm business debt at 30 June ($),1990,QL,QLD Central North,434950.0
1128,Farm business equity June 30 ($),1990,QL,QLD Central North,3091960.0
1129,Farm business profit ($),1990,QL,QLD Central North,38450.0
1130,Farm cash income ($),1990,QL,QLD Central North,88900.0
1131,Farm liquid assets at 30 June ($),1990,QL,QLD Central North,54060.0
1132,Fertiliser ($),1990,QL,QLD Central North,6540.0
1133,Field peas area sown (ha),1990,QL,QLD Central North,0.0
1134,Field peas produced (t),1990,QL,QLD Central North,0.0
1135,Field peas receipts ($),1990,QL,QLD Central North,0.0
1136,Fodder ($),1990,QL,QLD Central North,11820.0
1137,Fuel oil and grease ($),1990,QL,QLD Central North,21010.0
1138,Grain legumes area sown (ha),1990,QL,QLD Central North,0.0
1139,Grain legumes produced (t),1990,QL,QLD Central North,0.0
1140,Grain legumes receipts ($),1990,QL,QLD Central North,0.0
1141,Handling and marketing ($),1990,QL,QLD Central North,20390.0
1142,Hours worked on farm - total (hrsperwk),1990,QL,QLD Central North,
1143,Hours worked on farm by owner manager (hrsperwk),1990,QL,QLD Central North,
1144,Hours worked on farm by spouse (hrsperwk),1990,QL,QLD Central North,
1145,Imputed labor cost ($),1990,QL,QLD Central North,72200.0
1146,Insurance ($),1990,QL,QLD Central North,6940.0
1147,Interest paid ($),1990,QL,QLD Central North,44840.0
1148,Lambs at 30 June (no.),1990,QL,QLD Central North,485.0
1149,Land rent ($),1990,QL,QLD Central North,1610.0
1150,Leasing charges ($),1990,QL,QLD Central North,5750.0
1151,Livestock materials ($),1990,QL,QLD Central North,12440.0
1152,Livestock transfers - inwards ($),1990,QL,QLD Central North,0.0
1153,Livestock transfers - outward ($),1990,QL,QLD Central North,0.0
1154,Lupins area sown (ha),1990,QL,QLD Central North,0.0
1155,Lupins produced (t),1990,QL,QLD Central North,0.0
1156,Lupins receipts ($),1990,QL,QLD Central North,0.0
1157,Net capital additions ($),1990,QL,QLD Central North,95240.0
1158,Oats area sown (ha),1990,QL,QLD Central North,1.0
1159,Oats produced (t),1990,QL,QLD Central North,0.0
1160,Oats receipts ($),1990,QL,QLD Central North,0.0
1161,Off farm contracts ($),1990,QL,QLD Central North,40.0
1162,Off farm sharefarming ($),1990,QL,QLD Central North,0.0
1163,Off-farm work for owner manager (hrsperwk),1990,QL,QLD Central North,0.0
1164,Off-farm work for spouse (hrsperwk),1990,QL,QLD Central North,1.0
1165,Oilseeds area sown (ha),1990,QL,QLD Central North,0.0
1166,Oilseeds produced (t),1990,QL,QLD Central North,0.0
1167,Oilseeds receipts ($),1990,QL,QLD Central North,0.0
1168,Other administration expenses ($),1990,QL,QLD Central North,6010.0
1169,Other farm income ($),1990,QL,QLD Central North,14840.0
1170,Other livestock purchased ($),1990,QL,QLD Central North,3550.0
1171,Other livestock receipts ($),1990,QL,QLD Central North,5300.0
1172,Other materials ($),1990,QL,QLD Central North,5450.0
1173,Other services ($),1990,QL,QLD Central North,15230.0
1174,Payments to sharefarmers ($),1990,QL,QLD Central North,1740.0
1175,Population,1990,QL,QLD Central North,760.0
1176,Produce purchased for resale ($),1990,QL,QLD Central North,0.0
1177,Profit at full equity ($),1990,QL,QLD Central North,88710.0
1178,Profit at full equity including capital appreciation ($),1990,QL,QLD Central North,-191610.0
1179,Rams at 30 June (no.),1990,QL,QLD Central North,20.0
1180,Rate of return ex. capital appreciation (%),1990,QL,QLD Central North,2.5
1181,Rate of return inc. capital appreciation (%),1990,QL,QLD Central North,-5.3
1182,Repairs and maintenance ($),1990,QL,QLD Central North,41920.0
1183,Rice area sown (ha),1990,QL,QLD Central North,8.0
1184,Sample Contributing,1990,QL,QLD Central North,22.0
1185,Seed ($),1990,QL,QLD Central North,2920.0
1186,Shearing crutching ($),1990,QL,QLD Central North,15400.0
1187,Sheep and lambs shorn (no.),1990,QL,QLD Central North,1990.0
1188,Sheep flock at 30 June (no.),1990,QL,QLD Central North,2254.0
1189,Sheep purchased ($),1990,QL,QLD Central North,4400.0
1190,Sheep purchased (no.),1990,QL,QLD Central North,72.0
1191,Sheep receipts ($),1990,QL,QLD Central North,1090.0
1192,Sheep sold (no.),1990,QL,QLD Central North,47.0
1193,Shire and PPB rates ($),1990,QL,QLD Central North,10320.0
1194,Sorghum area sown (ha),1990,QL,QLD Central North,13.0
1195,Sorghum produced (t),1990,QL,QLD Central North,16.0
1196,Sorghum receipts ($),1990,QL,QLD Central North,5720.0
1197,Steers and other beef cattle at 30 June (no.),1990,QL,QLD Central North,274.0
1198,Stores and rations ($),1990,QL,QLD Central North,10030.0
1199,Telephone ($),1990,QL,QLD Central North,4380.0
1200,Total area cropped (ha),1990,QL,QLD Central North,155.0
1201,Total area irrigated (ha),1990,QL,QLD Central North,25.0
1202,Total cash costs ($),1990,QL,QLD Central North,377000.0
1203,Total cash receipts ($),1990,QL,QLD Central North,465900.0
1204,Total closing capital ($),1990,QL,QLD Central North,3591430.0
1205,Total crop gross receipts ($),1990,QL,QLD Central North,35550.0
1206,Total family income ($),1990,QL,QLD Central North,129700.0
1207,Total freight ($),1990,QL,QLD Central North,19370.0
1208,Total labor used (weeks),1990,QL,QLD Central North,133.0
1209,Total non farm income ($),1990,QL,QLD Central North,67830.0
1210,Total off farm wages ($),1990,QL,QLD Central North,3230.0
1211,Total wool sold (kg),1990,QL,QLD Central North,9134.0
1212,Value of land and fixed improvements ($),1990,QL,QLD Central North,2452450.0
1213,Vet fees ($),1990,QL,QLD Central North,650.0
1214,Wages for hired labor ($),1990,QL,QLD Central North,19560.0
1215,Water charges ($),1990,QL,QLD Central North,6180.0
1216,Wethers at 30 June (no.),1990,QL,QLD Central North,661.0
1217,Wheat area sown (ha),1990,QL,QLD Central North,1.0
1218,Wheat produced (t),1990,QL,QLD Central North,1.0
1219,Wheat receipts ($),1990,QL,QLD Central North,610.0
1220,Wheat sold (t),1990,QL,QLD Central North,1.0
1221,Wool cut per head (kg),1990,QL,QLD Central North,4.6
1222,Wool produced (kg),1990,QL,QLD Central North,9140.0
1223,Wool receipts ($),1990,QL,QLD Central North,103120.0
1224,AI stud fees and herd testing ($),1990,QL,QLD Charleville - Longreach,4400.0
1225,Accounting services ($),1990,QL,QLD Charleville - Longreach,6030.0
1226,Advisory services ($),1990,QL,QLD Charleville - Longreach,50.0
1227,Age of owner manager (yrs),1990,QL,QLD Charleville - Longreach,49.0
1228,Age of spouse (yrs),1990,QL,QLD Charleville - Longreach,45.0
1229,Agistment ($),1990,QL,QLD Charleville - Longreach,1040.0
1230,Area operated at 30 June (ha),1990,QL,QLD Charleville - Longreach,15890.0
1231,Barley area sown (ha),1990,QL,QLD Charleville - Longreach,0.0
1232,Barley produced (t),1990,QL,QLD Charleville - Longreach,0.0
1233,Barley receipts ($),1990,QL,QLD Charleville - Longreach,1140.0
1234,Beef bulls at 30 June (no.),1990,QL,QLD Charleville - Longreach,17.0
1235,Beef calves at 30 June (no.),1990,QL,QLD Charleville - Longreach,145.0
1236,Beef cattle purchased ($),1990,QL,QLD Charleville - Longreach,72420.0
1237,Beef cattle purchased (no.),1990,QL,QLD Charleville - Longreach,97.0
1238,Beef cattle receipts ($),1990,QL,QLD Charleville - Longreach,300950.0
1239,Beef cattle sold (no.),1990,QL,QLD Charleville - Longreach,296.0
1240,Beef cattle transferred off farm (no.),1990,QL,QLD Charleville - Longreach,11.0
1241,Beef cattle transferred onto farm (no.),1990,QL,QLD Charleville - Longreach,0.0
1242,Beef cows at 30 June (no.),1990,QL,QLD Charleville - Longreach,374.0
1243,Beef heifers at 30 June (no.),1990,QL,QLD Charleville - Longreach,56.0
1244,Beef herd at 30 June (no.),1990,QL,QLD Charleville - Longreach,762.0
1245,Branding rate (%),1990,QL,QLD Charleville - Longreach,76.0
1246,Buildup in trading stocks ($),1990,QL,QLD Charleville - Longreach,46210.0
1247,Canola area sown (ha),1990,QL,QLD Charleville - Longreach,0.0
1248,Canola produced (t),1990,QL,QLD Charleville - Longreach,0.0
1249,Canola receipts ($),1990,QL,QLD Charleville - Longreach,0.0
1250,Capital appreciation ($),1990,QL,QLD Charleville - Longreach,-230490.0
1251,Capital at 1 July ($),1990,QL,QLD Charleville - Longreach,3884700.0
1252,Change in farm debt ($),1990,QL,QLD Charleville - Longreach,194630.0
1253,Contracts - cropping ($),1990,QL,QLD Charleville - Longreach,130.0
1254,Contracts - livestock ($),1990,QL,QLD Charleville - Longreach,5810.0
1255,Cotton receipts ($),1990,QL,QLD Charleville - Longreach,0.0
1256,Crop and pasture chemicals ($),1990,QL,QLD Charleville - Longreach,10.0
1257,Dairy cattle at June 30 (no.),1990,QL,QLD Charleville - Longreach,0.0
1258,Depreciation ($),1990,QL,QLD Charleville - Longreach,47390.0
1259,Electricity ($),1990,QL,QLD Charleville - Longreach,4590.0
1260,Equity ratio at 30 June (%),1990,QL,QLD Charleville - Longreach,81.0
1261,Ewes at 30 June (no.),1990,QL,QLD Charleville - Longreach,2673.0
1262,Family share of farm income ($),1990,QL,QLD Charleville - Longreach,53530.0
1263,Farm business debt at 30 June ($),1990,QL,QLD Charleville - Longreach,661230.0
1264,Farm business equity June 30 ($),1990,QL,QLD Charleville - Longreach,2737020.0
1265,Farm business profit ($),1990,QL,QLD Charleville - Longreach,27610.0
1266,Farm cash income ($),1990,QL,QLD Charleville - Longreach,116530.0
1267,Farm liquid assets at 30 June ($),1990,QL,QLD Charleville - Longreach,163650.0
1268,Fertiliser ($),1990,QL,QLD Charleville - Longreach,300.0
1269,Field peas area sown (ha),1990,QL,QLD Charleville - Longreach,0.0
1270,Field peas produced (t),1990,QL,QLD Charleville - Longreach,0.0
1271,Field peas receipts ($),1990,QL,QLD Charleville - Longreach,0.0
1272,Fodder ($),1990,QL,QLD Charleville - Longreach,15300.0
1273,Fuel oil and grease ($),1990,QL,QLD Charleville - Longreach,19480.0
1274,Grain legumes area sown (ha),1990,QL,QLD Charleville - Longreach,0.0
1275,Grain legumes produced (t),1990,QL,QLD Charleville - Longreach,0.0
1276,Grain legumes receipts ($),1990,QL,QLD Charleville - Longreach,70.0
1277,Handling and marketing ($),1990,QL,QLD Charleville - Longreach,31680.0
1278,Hours worked on farm - total (hrsperwk),1990,QL,QLD Charleville - Longreach,
1279,Hours worked on farm by owner manager (hrsperwk),1990,QL,QLD Charleville - Longreach,
1280,Hours worked on farm by spouse (hrsperwk),1990,QL,QLD Charleville - Longreach,
1281,Imputed labor cost ($),1990,QL,QLD Charleville - Longreach,87750.0
1282,Insurance ($),1990,QL,QLD Charleville - Longreach,8770.0
1283,Interest paid ($),1990,QL,QLD Charleville - Longreach,101110.0
1284,Lambs at 30 June (no.),1990,QL,QLD Charleville - Longreach,1178.0
1285,Land rent ($),1990,QL,QLD Charleville - Longreach,2330.0
1286,Leasing charges ($),1990,QL,QLD Charleville - Longreach,9810.0
1287,Livestock materials ($),1990,QL,QLD Charleville - Longreach,9120.0
1288,Livestock transfers - inwards ($),1990,QL,QLD Charleville - Longreach,5640.0
1289,Livestock transfers - outward ($),1990,QL,QLD Charleville - Longreach,17590.0
1290,Lupins area sown (ha),1990,QL,QLD Charleville - Longreach,0.0
1291,Lupins produced (t),1990,QL,QLD Charleville - Longreach,0.0
1292,Lupins receipts ($),1990,QL,QLD Charleville - Longreach,0.0
1293,Net capital additions ($),1990,QL,QLD Charleville - Longreach,37210.0
1294,Oats area sown (ha),1990,QL,QLD Charleville - Longreach,0.0
1295,Oats produced (t),1990,QL,QLD Charleville - Longreach,0.0
1296,Oats receipts ($),1990,QL,QLD Charleville - Longreach,20.0
1297,Off farm contracts ($),1990,QL,QLD Charleville - Longreach,5550.0
1298,Off farm sharefarming ($),1990,QL,QLD Charleville - Longreach,0.0
1299,Off-farm work for owner manager (hrsperwk),1990,QL,QLD Charleville - Longreach,0.0
1300,Off-farm work for spouse (hrsperwk),1990,QL,QLD Charleville - Longreach,0.0
1301,Oilseeds area sown (ha),1990,QL,QLD Charleville - Longreach,0.0
1302,Oilseeds produced (t),1990,QL,QLD Charleville - Longreach,0.0
1303,Oilseeds receipts ($),1990,QL,QLD Charleville - Longreach,0.0
1304,Other administration expenses ($),1990,QL,QLD Charleville - Longreach,8470.0
1305,Other farm income ($),1990,QL,QLD Charleville - Longreach,20330.0
1306,Other livestock purchased ($),1990,QL,QLD Charleville - Longreach,40.0
1307,Other livestock receipts ($),1990,QL,QLD Charleville - Longreach,580.0
1308,Other materials ($),1990,QL,QLD Charleville - Longreach,3040.0
1309,Other services ($),1990,QL,QLD Charleville - Longreach,30000.0
1310,Payments to sharefarmers ($),1990,QL,QLD Charleville - Longreach,0.0
1311,Population,1990,QL,QLD Charleville - Longreach,742.0
1312,Produce purchased for resale ($),1990,QL,QLD Charleville - Longreach,0.0
1313,Profit at full equity ($),1990,QL,QLD Charleville - Longreach,136890.0
1314,Profit at full equity including capital appreciation ($),1990,QL,QLD Charleville - Longreach,-93600.0
1315,Rams at 30 June (no.),1990,QL,QLD Charleville - Longreach,51.0
1316,Rate of return ex. capital appreciation (%),1990,QL,QLD Charleville - Longreach,3.7
1317,Rate of return inc. capital appreciation (%),1990,QL,QLD Charleville - Longreach,-2.5
1318,Repairs and maintenance ($),1990,QL,QLD Charleville - Longreach,41160.0
1319,Rice area sown (ha),1990,QL,QLD Charleville - Longreach,0.0
1320,Sample Contributing,1990,QL,QLD Charleville - Longreach,20.0
1321,Seed ($),1990,QL,QLD Charleville - Longreach,2450.0
1322,Shearing crutching ($),1990,QL,QLD Charleville - Longreach,35220.0
1323,Sheep and lambs shorn (no.),1990,QL,QLD Charleville - Longreach,4854.0
1324,Sheep flock at 30 June (no.),1990,QL,QLD Charleville - Longreach,5531.0
1325,Sheep purchased ($),1990,QL,QLD Charleville - Longreach,26430.0
1326,Sheep purchased (no.),1990,QL,QLD Charleville - Longreach,529.0
1327,Sheep receipts ($),1990,QL,QLD Charleville - Longreach,23620.0
1328,Sheep sold (no.),1990,QL,QLD Charleville - Longreach,604.0
1329,Shire and PPB rates ($),1990,QL,QLD Charleville - Longreach,13700.0
1330,Sorghum area sown (ha),1990,QL,QLD Charleville - Longreach,0.0
1331,Sorghum produced (t),1990,QL,QLD Charleville - Longreach,0.0
1332,Sorghum receipts ($),1990,QL,QLD Charleville - Longreach,3340.0
1333,Steers and other beef cattle at 30 June (no.),1990,QL,QLD Charleville - Longreach,169.0
1334,Stores and rations ($),1990,QL,QLD Charleville - Longreach,7620.0
1335,Telephone ($),1990,QL,QLD Charleville - Longreach,4450.0
1336,Total area cropped (ha),1990,QL,QLD Charleville - Longreach,70.0
1337,Total area irrigated (ha),1990,QL,QLD Charleville - Longreach,0.0
1338,Total cash costs ($),1990,QL,QLD Charleville - Longreach,512440.0
1339,Total cash receipts ($),1990,QL,QLD Charleville - Longreach,628970.0
1340,Total closing capital ($),1990,QL,QLD Charleville - Longreach,3702670.0
1341,Total crop gross receipts ($),1990,QL,QLD Charleville - Longreach,4610.0
1342,Total family income ($),1990,QL,QLD Charleville - Longreach,70420.0
